SAT-Plan,easy
path?,time,iters,segments
True,0.0039899349212646484,4,4
True,0.0032701492309570312,4,4
True,0.0034720897674560547,4,4
True,0.0038537979125976562,4,4
True,0.0040721893310546875,4,4
True,0.003782987594604492,4,4
True,0.003500699996948242,4,4
True,0.00420689582824707,4,4
True,0.003573894500732422,4,4
True,0.004997730255126953,4,4
True,0.003729104995727539,4,4
True,0.003412008285522461,4,4
True,0.0033218860626220703,4,4
True,0.004327058792114258,4,4
True,0.00441431999206543,4,4
True,0.003304004669189453,4,4
True,0.003242969512939453,4,4
True,0.003348112106323242,4,4
True,0.0032110214233398438,4,4
True,0.003996133804321289,4,4
True,0.0032739639282226562,4,4
True,0.003253936767578125,4,4
True,0.0034999847412109375,4,4
True,0.0036520957946777344,4,4
True,0.003665924072265625,4,4
True,0.003854036331176758,4,4
True,0.003329038619995117,4,4
True,0.003330707550048828,4,4
True,0.003215312957763672,4,4
True,0.0032248497009277344,4,4
True,0.003548145294189453,4,4
True,0.004054069519042969,4,4
True,0.0034461021423339844,4,4
True,0.003507375717163086,4,4
True,0.003584146499633789,4,4
True,0.003420114517211914,4,4
True,0.0035181045532226562,4,4
True,0.003625154495239258,4,4
True,0.00347900390625,4,4
True,0.0036411285400390625,4,4
True,0.0034530162811279297,4,4
True,0.003400087356567383,4,4
True,0.003284931182861328,4,4
True,0.003641843795776367,4,4
True,0.0032923221588134766,4,4
True,0.0034890174865722656,4,4
True,0.0037550926208496094,4,4
True,0.0036950111389160156,4,4
True,0.003734111785888672,4,4
True,0.0037622451782226562,4,4
True,0.003325939178466797,4,4
True,0.0032939910888671875,4,4
True,0.0032749176025390625,4,4
True,0.0033369064331054688,4,4
True,0.004338979721069336,4,4
True,0.0038170814514160156,4,4
True,0.003777027130126953,4,4
True,0.0033140182495117188,4,4
True,0.003412008285522461,4,4
True,0.003470897674560547,4,4
True,0.003659963607788086,4,4
True,0.0035851001739501953,4,4
True,0.0038301944732666016,4,4
True,0.003367185592651367,4,4
True,0.0033483505249023438,4,4
True,0.003609180450439453,4,4
True,0.003619670867919922,4,4
True,0.003715038299560547,4,4
True,0.0039520263671875,4,4
True,0.0036199092864990234,4,4
True,0.003476858139038086,4,4
True,0.0034186840057373047,4,4
True,0.003323078155517578,4,4
True,0.003348827362060547,4,4
True,0.003690004348754883,4,4
True,0.0034770965576171875,4,4
True,0.003339052200317383,4,4
True,0.004044055938720703,4,4
True,0.003469705581665039,4,4
True,0.003412961959838867,4,4
True,0.003762960433959961,4,4
True,0.0033299922943115234,4,4
True,0.0034286975860595703,4,4
True,0.003364086151123047,4,4
True,0.003301858901977539,4,4
True,0.003720998764038086,4,4
True,0.0037152767181396484,4,4
True,0.003692150115966797,4,4
True,0.003751993179321289,4,4
True,0.003694772720336914,4,4
True,0.0034720897674560547,4,4
True,0.003568887710571289,4,4
True,0.0038268566131591797,4,4
True,0.0033638477325439453,4,4
True,0.0033860206604003906,4,4
True,0.003398895263671875,4,4
True,0.0033750534057617188,4,4
True,0.0034089088439941406,4,4
True,0.003422975540161133,4,4
True,0.003888845443725586,4,4
